GISJOIN,YEAR,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESA001
G0100010,1990,Autauga,1,,6,5240,,9999,3,Alabama,1,,,,Autauga County,12732
G0100030,1990,Baldwin,3,,6,5160,,9999,3,Alabama,1,,,,Baldwin County,50933
G0100050,1990,Barbour,5,,6,9999,,9999,3,Alabama,1,,,,Barbour County,10705
G0100070,1990,Bibb,7,,6,9999,,9999,3,Alabama,1,,,,Bibb County,6404
G0100090,1990,Blount,9,,6,1000,,9999,3,Alabama,1,,,,Blount County,15790
G0100110,1990,Bullock,11,,6,9999,,9999,3,Alabama,1,,,,Bullock County,4458
G0100130,1990,Butler,13,,6,9999,,9999,3,Alabama,1,,,,Butler County,8745
G0100150,1990,Calhoun,15,,6,450,,9999,3,Alabama,1,,,,Calhoun County,46753
G0100170,1990,Chambers,17,,6,9999,,9999,3,Alabama,1,,,,Chambers County,14910
G0100190,1990,Cherokee,19,,6,9999,,9999,3,Alabama,1,,,,Cherokee County,9379
G0100210,1990,Chilton,21,,6,9999,,9999,3,Alabama,1,,,,Chilton County,13883
G0100230,1990,Choctaw,23,,6,9999,,9999,3,Alabama,1,,,,Choctaw County,6789
G0100250,1990,Clarke,25,,6,9999,,9999,3,Alabama,1,,,,Clarke County,10853
G0100270,1990,Clay,27,,6,9999,,9999,3,Alabama,1,,,,Clay County,5608
G0100290,1990,Cleburne,29,,6,9999,,9999,3,Alabama,1,,,,Cleburne County,5232
G0100310,1990,Coffee,31,,6,9999,,9999,3,Alabama,1,,,,Coffee County,16951
G0100330,1990,Colbert,33,,6,2650,,9999,3,Alabama,1,,,,Colbert County,21812
G0100350,1990,Conecuh,35,,6,9999,,9999,3,Alabama,1,,,,Conecuh County,6207
G0100370,1990,Coosa,37,,6,9999,,9999,3,Alabama,1,,,,Coosa County,5113
G0100390,1990,Covington,39,,6,9999,,9999,3,Alabama,1,,,,Covington County,16178
G0100410,1990,Crenshaw,41,,6,9999,,9999,3,Alabama,1,,,,Crenshaw County,5938
G0100430,1990,Cullman,43,,6,9999,,9999,3,Alabama,1,,,,Cullman County,28369
G0100450,1990,Dale,45,,6,2180,,9999,3,Alabama,1,,,,Dale County,19432
G0100470,1990,Dallas,47,,6,9999,,9999,3,Alabama,1,,,,Dallas County,19045
G0100490,1990,DeKalb,49,,6,9999,,9999,3,Alabama,1,,,,DeKalb County,22939
G0100510,1990,Elmore,51,,6,5240,,9999,3,Alabama,1,,,,Elmore County,19497
G0100530,1990,Escambia,53,,6,9999,,9999,3,Alabama,1,,,,Escambia County,14356
G0100550,1990,Etowah,55,,6,2880,,9999,3,Alabama,1,,,,Etowah County,41787
G0100570,1990,Fayette,57,,6,9999,,9999,3,Alabama,1,,,,Fayette County,7555
G0100590,1990,Franklin,59,,6,9999,,9999,3,Alabama,1,,,,Franklin County,11772
G0100610,1990,Geneva,61,,6,9999,,9999,3,Alabama,1,,,,Geneva County,10416
G0100630,1990,Greene,63,,6,9999,,9999,3,Alabama,1,,,,Greene County,4162
G0100650,1990,Hale,65,,6,9999,,9999,3,Alabama,1,,,,Hale County,6370
G0100670,1990,Henry,67,,6,9999,,9999,3,Alabama,1,,,,Henry County,7056
G0100690,1990,Houston,69,,6,2180,,9999,3,Alabama,1,,,,Houston County,33196
G0100710,1990,Jackson,71,,6,9999,,9999,3,Alabama,1,,,,Jackson County,19768
G0100730,1990,Jefferson,73,,6,1000,,9999,3,Alabama,1,,,,Jefferson County,273097
G0100750,1990,Lamar,75,,6,9999,,9999,3,Alabama,1,,,,Lamar County,6617
G0100770,1990,Lauderdale,77,,6,2650,,9999,3,Alabama,1,,,,Lauderdale County,33522
G0100790,1990,Lawrence,79,,6,2030,,9999,3,Alabama,1,,,,Lawrence County,12212
G0100810,1990,Lee,81,,6,9999,,9999,3,Alabama,1,,,,Lee County,36636
G0100830,1990,Limestone,83,,6,9999,,9999,3,Alabama,1,,,,Limestone County,21455
G0100850,1990,Lowndes,85,,6,9999,,9999,3,Alabama,1,,,,Lowndes County,4792
G0100870,1990,Macon,87,,6,9999,,9999,3,Alabama,1,,,,Macon County,9818
G0100890,1990,Madison,89,,6,3440,,9999,3,Alabama,1,,,,Madison County,97855
G0100910,1990,Marengo,91,,6,9999,,9999,3,Alabama,1,,,,Marengo County,9144
G0100930,1990,Marion,93,,6,9999,,9999,3,Alabama,1,,,,Marion County,12597
G0100950,1990,Marshall,95,,6,9999,,9999,3,Alabama,1,,,,Marshall County,30225
G0100970,1990,Mobile,97,,6,5160,,9999,3,Alabama,1,,,,Mobile County,151220
G0100990,1990,Monroe,99,,6,9999,,9999,3,Alabama,1,,,,Monroe County,9633
G0101010,1990,Montgomery,101,,6,5240,,9999,3,Alabama,1,,,,Montgomery County,84525
G0101030,1990,Morgan,103,,6,2030,,9999,3,Alabama,1,,,,Morgan County,40419
G0101050,1990,Perry,105,,6,9999,,9999,3,Alabama,1,,,,Perry County,4807
G0101070,1990,Pickens,107,,6,9999,,9999,3,Alabama,1,,,,Pickens County,8379
G0101090,1990,Pike,109,,6,9999,,9999,3,Alabama,1,,,,Pike County,11506
G0101110,1990,Randolph,111,,6,9999,,9999,3,Alabama,1,,,,Randolph County,8728
G0101130,1990,Russell,113,,6,1800,,9999,3,Alabama,1,,,,Russell County,19633
G0101150,1990,St Clair,115,,6,1000,,9999,3,Alabama,1,,,,St. Clair County,20382
G0101170,1990,Shelby,117,,6,1000,,9999,3,Alabama,1,,,,Shelby County,39201
G0101190,1990,Sumter,119,,6,9999,,9999,3,Alabama,1,,,,Sumter County,6545
G0101210,1990,Talladega,121,,6,9999,,9999,3,Alabama,1,,,,Talladega County,29861
G0101230,1990,Tallapoosa,123,,6,9999,,9999,3,Alabama,1,,,,Tallapoosa County,17312
G0101250,1990,Tuscaloosa,125,,6,8600,,9999,3,Alabama,1,,,,Tuscaloosa County,58740
G0101270,1990,Walker,127,,6,1000,,9999,3,Alabama,1,,,,Walker County,28427
G0101290,1990,Washington,129,,6,9999,,9999,3,Alabama,1,,,,Washington County,6625
G0101310,1990,Wilcox,131,,6,9999,,9999,3,Alabama,1,,,,Wilcox County,5119
G0101330,1990,Winston,133,,6,9999,,9999,3,Alabama,1,,,,Winston County,10254
G0200130,1990,Aleutians East,13,,9,9999,,9999,4,Alaska,2,,,,Aleutians East Borough,693
G0200160,1990,Aleutians West,16,,9,9999,,9999,4,Alaska,2,,,,Aleutians West Census Area,2051
G0200200,1990,Anchorage,20,,9,380,,9999,4,Alaska,2,,,,Anchorage Borough,94153
G0200500,1990,Bethel,50,,9,9999,,9999,4,Alaska,2,,,,Bethel Census Area,4362
G0200600,1990,Bristol Bay,60,,9,9999,,9999,4,Alaska,2,,,,Bristol Bay Borough,596
G0200700,1990,Dillingham,70,,9,9999,,9999,4,Alaska,2,,,,Dillingham Census Area,1691
G0200900,1990,Fairbanks North Star,90,,9,9999,,9999,4,Alaska,2,,,,Fairbanks North Star Borough,31823
G0201000,1990,Haines,100,,9,9999,,9999,4,Alaska,2,,,,Haines Borough,1112
G0201100,1990,Juneau,110,,9,9999,,9999,4,Alaska,2,,,,Juneau Borough,10638
G0201220,1990,Kenai Peninsula,122,,9,9999,,9999,4,Alaska,2,,,,Kenai Peninsula Borough,19364
G0201300,1990,Ketchikan Gateway,130,,9,9999,,9999,4,Alaska,2,,,,Ketchikan Gateway Borough,5463
G0201500,1990,Kodiak Island,150,,9,9999,,9999,4,Alaska,2,,,,Kodiak Island Borough,4885
G0201640,1990,Lake And Peninsula,164,,9,9999,,9999,4,Alaska,2,,,,Lake and Peninsula Borough,991
G0201700,1990,Matanuska-Susitna,170,,9,9999,,9999,4,Alaska,2,,,,Matanuska-Susitna Borough,20953
G0201800,1990,Nome,180,,9,9999,,9999,4,Alaska,2,,,,Nome Census Area,3684
G0201850,1990,North Slope,185,,9,9999,,9999,4,Alaska,2,,,,North Slope Borough,2153
G0201880,1990,Northwest Arctic,188,,9,9999,,9999,4,Alaska,2,,,,Northwest Arctic Borough,1998
G0202010,1990,Prince Of Wales-Outer Ketchikan,201,,9,9999,,9999,4,Alaska,2,,,,Prince of Wales-Outer Ketchikan Census Area,2543
G0202200,1990,Sitka,220,,9,9999,,9999,4,Alaska,2,,,,Sitka Borough,3222
G0202310,1990,Skagway-Yakutat-Angoon,231,,9,9999,,9999,4,Alaska,2,,,,Skagway-Yakutat-Angoon Census Area,2102
G0202400,1990,Southeast Fairbanks,240,,9,9999,,9999,4,Alaska,2,,,,Southeast Fairbanks Census Area,3149
G0202610,1990,Valdez-Cordova,261,,9,9999,,9999,4,Alaska,2,,,,Valdez-Cordova Census Area,5196
G0202700,1990,Wade Hampton,270,,9,9999,,9999,4,Alaska,2,,,,Wade Hampton Census Area,1882
G0202800,1990,Wrangell-Petersburg,280,,9,9999,,9999,4,Alaska,2,,,,Wrangell-Petersburg Census Area,3005
G0202900,1990,Yukon-Koyukuk,290,,9,9999,,9999,4,Alaska,2,,,,Yukon-Koyukuk Census Area,4899
G0400010,1990,Apache,1,,8,9999,,9999,4,Arizona,4,,,,Apache County,26731
G0400030,1990,Cochise,3,,8,9999,,9999,4,Arizona,4,,,,Cochise County,40238
G0400050,1990,Coconino,5,,8,9999,,9999,4,Arizona,4,,,,Coconino County,42914
G0400070,1990,Gila,7,,8,9999,,9999,4,Arizona,4,,,,Gila County,22961
G0400090,1990,Graham,9,,8,9999,,9999,4,Arizona,4,,,,Graham County,9112
G0400110,1990,Greenlee,11,,8,9999,,9999,4,Arizona,4,,,,Greenlee County,3582
G0400120,1990,La Paz,12,,8,9999,,9999,4,Arizona,4,,,,La Paz County,10182
G0400130,1990,Maricopa,13,,8,6200,,9999,4,Arizona,4,,,,Maricopa County,952041
G0400150,1990,Mohave,15,,8,9999,,9999,4,Arizona,4,,,,Mohave County,50822
G0400170,1990,Navajo,17,,8,9999,,9999,4,Arizona,4,,,,Navajo County,38967
G0400190,1990,Pima,19,,8,8520,,9999,4,Arizona,4,,,,Pima County,298207
G0400210,1990,Pinal,21,,8,9999,,9999,4,Arizona,4,,,,Pinal County,52732
G0400230,1990,Santa Cruz,23,,8,9999,,9999,4,Arizona,4,,,,Santa Cruz County,9595
G0400250,1990,Yavapai,25,,8,9999,,9999,4,Arizona,4,,,,Yavapai County,54805
G0400270,1990,Yuma,27,,8,9360,,9999,4,Arizona,4,,,,Yuma County,46541
G0500010,1990,Arkansas,1,,7,9999,,9999,3,Arkansas,5,,,,Arkansas County,9575
G0500030,1990,Ashley,3,,7,9999,,9999,3,Arkansas,5,,,,Ashley County,9820
G0500050,1990,Baxter,5,,7,9999,,9999,3,Arkansas,5,,,,Baxter County,15549
G0500070,1990,Benton,7,,7,9999,,9999,3,Arkansas,5,,,,Benton County,41444
G0500090,1990,Boone,9,,7,9999,,9999,3,Arkansas,5,,,,Boone County,12380
G0500110,1990,Bradley,11,,7,9999,,9999,3,Arkansas,5,,,,Bradley County,5092
G0500130,1990,Calhoun,13,,7,9999,,9999,3,Arkansas,5,,,,Calhoun County,2437
G0500150,1990,Carroll,15,,7,9999,,9999,3,Arkansas,5,,,,Carroll County,8740
G0500170,1990,Chicot,17,,7,9999,,9999,3,Arkansas,5,,,,Chicot County,6191
G0500190,1990,Clark,19,,7,9999,,9999,3,Arkansas,5,,,,Clark County,8807
G0500210,1990,Clay,21,,7,9999,,9999,3,Arkansas,5,,,,Clay County,8362
G0500230,1990,Cleburne,23,,7,9999,,9999,3,Arkansas,5,,,,Cleburne County,10802
G0500250,1990,Cleveland,25,,7,9999,,9999,3,Arkansas,5,,,,Cleveland County,3322
G0500270,1990,Columbia,27,,7,9999,,9999,3,Arkansas,5,,,,Columbia County,10690
G0500290,1990,Conway,29,,7,9999,,9999,3,Arkansas,5,,,,Conway County,8009
G0500310,1990,Craighead,31,,7,9999,,9999,3,Arkansas,5,,,,Craighead County,28434
G0500330,1990,Crawford,33,,7,2720,,9999,3,Arkansas,5,,,,Crawford County,16711
G0500350,1990,Crittenden,35,,7,4920,,9999,3,Arkansas,5,,,,Crittenden County,18875
G0500370,1990,Cross,37,,7,9999,,9999,3,Arkansas,5,,,,Cross County,7254
G0500390,1990,Dallas,39,,7,9999,,9999,3,Arkansas,5,,,,Dallas County,4049
